"cd","twoway18","twoway16","fund_diff","open_seat","IE_diff","rscandal_ai","dscandal_ai","total_funding","r_incumbent_running","d_incumbent_running","nnu","m4a_total_tone_weight","dchallengerwoman_ai","dchallengerpersonofcolor_ai","dchallengermiliarybackground_ai","d_ideo"
"IA02",56,48,0.890043596569652,0,0,0,0,14.8834838841611,"No","Yes",1,-0.37377885668397,0,0,0,-2.02526593
"IA03",51,48,0.612342650568846,0,-0.242219590258868,0,0,15.9056147460472,"Yes","No",0,0.178385530187135,1,0,0,-2.15392069
"IA04",48,36,1.32903951915891,0,0,0,0,15.2472829350941,"Yes","No",0,NA,0,0,0,-1.52104086
"ID01",33,28,-3.68715648557481,1,0,0,0,13.7540374350226,"No","No",0,NA,1,1,0,-1.29834716
"ID02",39,35,-2.11761398672446,0,0,0,0,14.0314101107621,"Yes","No",1,0,0,0,0,-0.823628187
"IL01",79,78,NA,0,0,0,0,NA,"No","Yes",1,NA,0,0,0,-2.77039173
"IL02",81,80,NA,0,0,0,0,NA,"No","Yes",1,NA,0,0,0,-2.22022788
"IL03",74,58,NA,0,0,0,0,NA,"No","Yes",0,-0.256776326150634,0,0,0,-0.6312270495
"IL04",87,86,4.67906098249393,1,0,0,0,13.6890800769432,"No","No",1,1.01682767040776,0,1,0,-2.63653452
"IL05",77,75,NA,0,0,0,0,NA,"No","Yes",0,0.480091358180078,0,0,0,-2.01742845
"IL06",54,54,-0.0920752540522873,0,0.466443234224471,0,0,16.418238468604,"Yes","No",0,1.21764723742197,0,0,0,-2.05707313
"IL07",88,91,NA,0,0,0,0,NA,"No","Yes",1,0.0818524318187004,0,0,0,-2.46726532
"IL08",66,62,4.57977762180437,0,0,0,0,15.4963012181191,"No","Yes",0,0.359809439122598,0,0,0,-2.3479012
"IL09",73,74,3.03889611198502,0,0,0,0,14.3065039649563,"No","Yes",1,-0.664420753846549,0,0,0,-2.90257505
"IL10",66,65,2.74335687255143,0,0,0,0,15.3970516884356,"No","Yes",0,0,0,0,0,-2.07939643
"IL11",64,63,2.20276719908825,0,0,0,0,14.8982510568615,"No","Yes",0,NA,0,0,0,-2.11683216
"IL12",46,42,0.313571411135693,0,-0.729806844901534,0,0,15.7330325022757,"Yes","No",0,0.00662288214660601,0,0,1,-1.77951902
